Timestamp,timer.externalize_c,timer.externalize_libel,timer.finalize_c,timer.finalize_libel,timer.processnoise_c,timer.processnoise_libel,timer.stateinbounds_c,timer.stateinbounds_libel
74489,6,9,146,280,10,32,1,4
74509,6,8,10,51,11,32,2,4
74529,6,15,223,31,10,58,2,4
74549,5,15,178,31,10,58,1,4
74569,6,15,183,31,10,58,1,4
74589,6,15,178,31,48,58,1,4
74609,6,15,178,31,10,58,1,4
74629,5,15,185,31,10,58,1,4
74649,5,15,153,31,10,58,1,4
74669,5,15,153,31,10,58,1,4
74689,6,15,185,31,10,58,1,4
74709,6,15,206,31,10,58,1,4
74729,6,15,10,31,10,58,1,4
74749,6,15,10,31,10,58,1,4
74769,5,15,178,31,10,58,1,4
74789,6,15,172,31,11,58,1,4
74809,6,15,179,31,10,58,1,4
74829,6,15,180,31,12,58,1,4
74849,6,15,198,31,11,58,2,4
74869,6,15,355,31,11,58,1,4
74889,6,15,174,31,11,58,1,4
74909,6,15,10,31,10,58,1,4
74929,6,15,178,31,10,58,1,4
74949,6,15,179,31,11,58,1,4
74969,6,15,194,31,10,58,6,4
74989,7,9,217,406,10,34,1,4
75009,6,9,180,376,10,31,1,4
75029,5,9,42,35,10,31,1,7
75049,25,9,198,35,10,31,1,7
75069,6,9,195,35,10,31,6,7
75089,5,9,180,35,10,31,1,7
75109,6,9,207,35,11,31,1,7
75129,6,9,218,35,11,31,2,7
75149,6,9,179,35,11,31,1,7
75169,6,9,179,35,11,31,1,7
75189,7,9,179,35,11,31,1,7
75209,6,9,181,35,11,31,1,7
75229,6,9,10,35,10,31,1,7
75249,6,9,10,35,10,31,1,7
75269,6,9,11,35,10,31,1,7
75289,5,9,184,35,10,31,1,7
75309,5,9,182,35,10,31,1,7
75329,6,9,148,35,10,31,26,7
75349,5,9,186,35,10,31,1,7
75369,6,9,10,35,10,31,1,7
75389,6,9,10,35,11,31,2,7
75409,6,9,188,35,10,31,1,7
75429,5,9,203,35,10,31,1,7
75449,6,9,186,35,10,31,7,7
75469,6,9,199,35,10,31,1,7
75489,5,9,12,35,10,32,3,4
75509,6,9,192,349,10,32,2,4
75529,6,9,199,33,10,32,1,5
75549,6,9,220,33,10,32,1,5
75569,5,9,10,33,10,32,2,5
75589,5,9,191,33,10,32,1,5
75609,5,9,10,33,10,32,1,5
75629,6,9,180,33,12,32,1,5
75649,6,9,208,33,10,32,1,5
75669,6,9,176,33,10,32,2,5
75689,5,9,201,33,10,32,1,5
75709,5,9,248,33,10,32,1,5
75729,6,9,206,33,11,32,2,5
75749,5,9,214,33,10,32,1,5
75769,6,9,213,33,10,32,1,5
75789,6,9,10,33,11,32,1,5
75809,6,9,230,33,10,32,1,5
75829,5,9,201,33,10,32,6,5
75849,6,9,176,33,10,32,7,5
75869,6,9,358,33,11,32,1,5
75889,6,9,396,33,10,32,1,5
75909,6,9,355,33,10,32,1,5
75929,6,9,394,33,59,32,1,5
75949,6,9,333,33,11,32,1,5
75969,6,9,147,33,11,32,1,5
75989,6,8,10,31,12,33,1,4
76009,7,9,151,220,10,34,2,4
76029,6,9,12,38,10,32,1,6
76049,6,9,316,38,10,32,1,6
76069,6,9,339,38,10,32,1,6
76089,6,9,339,38,10,32,1,6
76109,6,9,339,38,10,32,1,6
76129,6,9,348,38,10,32,1,6
76149,6,9,343,38,10,32,1,6
76169,6,9,343,38,10,32,1,6
76189,5,9,334,38,60,32,1,6
76209,6,9,337,38,10,32,2,6
76229,6,9,335,38,10,32,1,6
76249,6,9,377,38,10,32,1,6
76269,5,9,160,38,10,32,1,6
76289,5,9,357,38,16,32,1,6
76309,6,9,329,38,10,32,2,6
76329,6,9,318,38,10,32,1,6
76349,6,9,316,38,10,32,1,6
76369,6,9,316,38,10,32,1,6
76389,6,9,316,38,10,32,1,6
76409,6,9,316,38,10,32,1,6
76429,6,9,355,38,10,32,1,6
76449,5,9,356,38,10,32,1,6
76469,6,9,316,38,10,32,1,6
76489,5,9,282,180,10,52,1,3
76509,6,15,280,181,10,32,1,4
76529,6,9,244,180,11,33,1,4
76549,5,9,315,180,10,32,1,4
76569,5,9,147,180,10,32,1,4
76589,5,9,10,180,10,32,1,4
76609,6,9,40,180,10,32,1,4
76629,5,9,315,180,10,32,1,4
76649,6,9,329,180,11,32,1,4
76669,6,9,315,180,10,32,1,4
76689,6,9,315,180,10,32,2,4
76709,6,9,365,180,10,32,1,4
76729,5,9,323,180,10,32,1,4
76749,6,9,363,180,11,32,1,4
76769,6,9,323,180,10,32,1,4
76789,5,9,324,180,10,32,1,4
76809,6,9,10,180,11,32,1,4
76829,5,9,327,180,10,32,2,4
76849,6,9,369,180,10,32,1,4
76869,6,9,333,180,10,32,1,4
76889,6,9,375,180,10,32,1,4
76909,6,9,147,180,10,32,1,4
76929,6,9,10,180,10,32,1,4
76949,6,9,10,180,10,32,1,4
76969,6,9,338,180,10,32,1,4
76989,6,9,254,187,10,33,2,4
77009,6,9,286,180,10,31,1,3
77029,6,11,250,180,11,33,1,4
77049,6,9,162,30,11,31,1,3
77069,6,9,158,30,10,31,1,3
77089,6,9,159,30,10,31,1,3
77109,6,9,158,30,10,31,1,3
77129,6,9,158,30,10,31,1,3
77149,5,9,194,30,10,31,1,3
77169,6,9,151,30,10,31,1,3
77189,6,9,282,30,10,31,1,3
77209,5,9,205,30,10,31,1,3
77229,5,9,10,30,10,31,1,3
77249,6,9,146,30,10,31,2,3
77269,6,9,151,30,10,31,1,3
77289,6,9,172,30,10,31,3,3
77309,5,9,156,30,10,31,1,3
77329,6,9,10,30,11,31,1,3
77349,6,9,186,30,10,31,1,3
77369,6,9,178,30,11,31,1,3
77389,6,9,185,30,11,31,1,3
77409,6,9,154,30,10,31,1,3
77429,5,9,178,30,10,31,1,3
77449,6,9,153,30,11,31,1,3
